,asset_class_name,assets_under_management,distribution_policy_bool,is_hedged,is_hedged_currency,isin,nav,provider_icon,recommendation,replication_methodology_first_level_short,return_year_to_date_real,shortname,sorting_string_de,sorting_string_en,sparplan_faehig,sustainability_id,sustainability_name,ter,trading_currency_name,transferred_to,underlying_index_name,vl_faehig,vl_url,wkn,recommendation.name,recommendation.slug
0,Aktien,27.8577393439,False,False,,LU0592217524,6.887,/media/icons/provider/icon-dws-xtrackers.png,,Synthetisch,-1.41986,Xtrackers,11Afrika / Südafrika,11Africa / South Africa,1,,,0.65,EUR,,MSCI EFM Africa Top 50 Capped TR USD,False,,DBX0HX,,
1,Aktien,101.4240452992,False,False,,IE00B52XQP83,32.115,/media/icons/provider/ishares.png,,Physisch,10.60319,iShares,11Afrika / Südafrika,11Africa / South Africa,1,,,0.65,EUR,,MSCI South Africa 20/35 USD,False,,A0YJ8Y,,
2,Aktien,34.937192367,False,False,,LU1287022708,9.365,/media/icons/provider/amundi.png,,Synthetisch,-1.45279,Amundi,11Afrika / Südafrika,11Africa / South Africa,1,,,0.85,EUR,,SGI Pan Africa NR EUR,True,"https://portal.ebase.com/deo-finvesto?DDE=LU1287022708,vl&zuf=extraetf&zufref=vlsparen",LYX0V7,,
3,Aktien,288.8028884544,False,False,,LU1900068161,121.8,/media/icons/provider/amundi.png,,Synthetisch,-8.1336,Amundi,11Asien (ex Japan) Region,11Asien (ex Japan) Region,1,,,0.5,EUR,,MSCI AC Asia Ex Japan NR USD,True,"https://portal.ebase.com/deo-finvesto?DDE=LU1900068161,vl&zuf=extraetf&zufref=vlsparen",LYX014,,
4,Aktien,187.8232557729,False,False,,IE00B7WK2W23,149.24,/media/icons/provider/ubs.png,,Synthetisch,-8.00021,UBS,11Asien (ex Japan) Region,11Asien (ex Japan) Region,1,,,0.23,EUR,,MSCI AC Asia Ex Japan NR USD,False,,A1JZY0,,
5,Aktien,1297.8895476985,True,False,,IE00B0M63730,50.02,/media/icons/provider/ishares.png,,Physisch,-9.50782,iShares,11Asien (ex Japan) Region,11Asien (ex Japan) Region,1,,,0.74,EUR,,MSCI AC Far East Ex Japan NR USD,False,,A0HGV9,,
6,Aktien,427.8807244636,False,False,,IE00BBQ2W338,44.59,/media/icons/provider/hsbc.png,,Physisch,-10.09885,HSBC,11Asien (ex Japan) Region,11Asien (ex Japan) Region,1,,,0.45,EUR,,MSCI AC Far East Ex Japan NR USD,True,"https://portal.ebase.com/deo-finvesto?DDE=IE00BBQ2W338,vl&zuf=extraetf&zufref=vlsparen",A1W2EL,,
7,Aktien,2.132705752,False,False,,IE000CM02H85,21.405,/media/icons/provider/farnklin_templeton.png,,Physisch,,Franklin Templeton,11Asien Länder,11Asien Countries,0,,,0.19,EUR,,FTSE Taiwan 30/18 Capped NR USD,False,,A3C9A1,,
8,Aktien,133.5301780302,False,False,,IE00BHZRQZ17,32.63,/media/icons/provider/farnklin_templeton.png,,Physisch,4.22568,Franklin Templeton,11Asien Länder,11Asien Countries,1,,,0.19,EUR,,FTSE India 30/18 Capped,True,"https://portal.ebase.com/deo-finvesto?DDE=IE00BHZRQZ17,vl&zuf=extraetf&zufref=vlsparen",A2PB5W,,
9,Aktien,356.9281490034,False,False,,IE00BHZRR030,29.97,/media/icons/provider/farnklin_templeton.png,,Physisch,-14.94288,Franklin Templeton,11Asien Länder,11Asien Countries,1,,,0.09,EUR,,FTSE Korea 30/18 Capped NR USD,True,"https://portal.ebase.com/deo-finvesto?DDE=IE00BHZRR030,vl&zuf=extraetf&zufref=vlsparen",A2PB5X,,
